,Node_1,Node_2
334,ENSG00000018408,WWTR1
335,ENSG00000018510,AGPS
336,ENSG00000018610,CXorf56
337,ENSG00000018699,TTC27
338,ENSG00000018869,ZNF582
339,ENSG00000019102,VSIG2
340,ENSG00000019144,PHLDB1
341,ENSG00000019169,MARCO
342,ENSG00000019485,PRDM11
343,ENSG00000019549,SNAI2
344,ENSG00000019582,CD74
345,ENSG00000019991,HGF
346,ENSG00000019995,ZRANB1
347,ENSG00000020129,NCDN
348,ENSG00000020181,GPR124
349,ENSG00000020256,ZFP64
350,ENSG00000020426,MNAT1
351,ENSG00000020577,SAMD4A
352,ENSG00000020633,RUNX3
353,ENSG00000020922,MRE11A
354,ENSG00000021300,PLEKHB1
355,ENSG00000021355,SERPINB1
356,ENSG00000021488,SLC7A9
357,ENSG00000021574,SPAST
358,ENSG00000021645,NRXN3
359,ENSG00000021762,OSBPL5
360,ENSG00000021776,AQR
361,ENSG00000021826,CPS1
362,ENSG00000022267,FHL1
363,ENSG00000022277,RTFDC1
364,ENSG00000022556,NLRP2
365,ENSG00000022567,SLC45A4
366,ENSG00000022840,RNF10
367,ENSG00000022976,ZNF839
368,ENSG00000023041,ZDHHC6
369,ENSG00000023171,GRAMD1B
370,ENSG00000023191,RNH1
371,ENSG00000023228,NDUFS1
372,ENSG00000023287,RB1CC1
373,ENSG00000023318,ERP44
374,ENSG00000023330,ALAS1
375,ENSG00000023445,BIRC3
376,ENSG00000023516,AKAP11
377,ENSG00000023572,GLRX2
378,ENSG00000023608,SNAPC1
379,ENSG00000023697,DERA
380,ENSG00000023734,STRAP
381,ENSG00000023839,ABCC2
382,ENSG00000023892,DEF6
383,ENSG00000023902,PLEKHO1
384,ENSG00000023909,GCLM
385,ENSG00000024048,UBR2
386,ENSG00000024422,EHD2
387,ENSG00000024526,DEPDC1
388,ENSG00000024862,CCDC28A
389,ENSG00000025039,RRAGD
390,ENSG00000025156,HSF2
391,ENSG00000025293,PHF20
392,ENSG00000025423,HSD17B6
393,ENSG00000025434,NR1H3
394,ENSG00000025708,TYMP
395,ENSG00000025770,NCAPH2
396,ENSG00000025772,TOMM34
397,ENSG00000025796,SEC63
398,ENSG00000025800,KPNA6
399,ENSG00000026025,VIM
400,ENSG00000026036,RTEL1-TNFRSF6B
401,ENSG00000026103,FAS
402,ENSG00000026297,RNASET2
403,ENSG00000026508,CD44
404,ENSG00000026559,KCNG1
405,ENSG00000026652,AGPAT4
406,ENSG00000026751,SLAMF7
407,ENSG00000026950,BTN3A1
408,ENSG00000027001,MIPEP
409,ENSG00000027075,PRKCH
410,ENSG00000027644,INSRR
411,ENSG00000027697,IFNGR1
412,ENSG00000027847,B4GALT7
413,ENSG00000027869,SH2D2A
414,ENSG00000028116,VRK2
415,ENSG00000028137,TNFRSF1B
416,ENSG00000028203,VEZT
417,ENSG00000028277,POU2F2
418,ENSG00000028310,BRD9
419,ENSG00000028528,SNX1
420,ENSG00000028839,TBPL1
421,ENSG00000029153,ARNTL2
422,ENSG00000029363,BCLAF1
423,ENSG00000029364,SLC39A9
424,ENSG00000029534,ANK1
425,ENSG00000029639,TFB1M
426,ENSG00000029725,RABEP1
427,ENSG00000029993,HMGB3
428,ENSG00000030066,NUP160
429,ENSG00000030110,BAK1
430,ENSG00000030419,IKZF2
431,ENSG00000030582,GRN
432,ENSG00000031003,FAM13B
433,ENSG00000031081,ARHGAP31
434,ENSG00000031691,CENPQ
435,ENSG00000031698,SARS
436,ENSG00000031823,RANBP3
437,ENSG00000032219,ARID4A
438,ENSG00000032389,TSSC1
439,ENSG00000032444,PNPLA6
440,ENSG00000032742,IFT88
441,ENSG00000033011,ALG1
442,ENSG00000033030,ZCCHC8
443,ENSG00000033050,ABCF2
444,ENSG00000033100,CHPF2
445,ENSG00000033122,LRRC7
446,ENSG00000033170,FUT8
447,ENSG00000033178,UBA6
448,ENSG00000033327,GAB2
449,ENSG00000033627,ATP6V0A1
450,ENSG00000033800,PIAS1
451,ENSG00000033867,SLC4A7
452,ENSG00000034053,APBA2
453,ENSG00000034063,UHRF1
454,ENSG00000034152,MAP2K3
455,ENSG00000034239,EFCAB1
456,ENSG00000034510,TMSB10
457,ENSG00000034533,ASTE1
458,ENSG00000034677,RNF19A
459,ENSG00000034693,PEX3
460,ENSG00000034713,GABARAPL2
461,ENSG00000035115,SH3YL1
462,ENSG00000035141,FAM136A
463,ENSG00000035403,VCL
464,ENSG00000035499,DEPDC1B
465,ENSG00000035664,DAPK2
466,ENSG00000035681,NSMAF
467,ENSG00000035687,ADSS
468,ENSG00000035720,STAP1
469,ENSG00000035862,TIMP2
470,ENSG00000035928,RFC1
471,ENSG00000036054,TBC1D23
472,ENSG00000036257,CUL3
473,ENSG00000036448,MYOM2
474,ENSG00000036530,CYP46A1
475,ENSG00000036549,ZZZ3
476,ENSG00000036565,SLC18A1
477,ENSG00000036672,USP2
478,ENSG00000037042,TUBG2
479,ENSG00000037241,RPL26L1
480,ENSG00000037280,FLT4
481,ENSG00000037474,NSUN2
482,ENSG00000037637,FBXO42
483,ENSG00000037749,MFAP3
484,ENSG00000037757,MRI1
485,ENSG00000037897,METTL1
486,ENSG00000038002,AGA
487,ENSG00000038210,PI4K2B
488,ENSG00000038219,BOD1L1
489,ENSG00000038274,MAT2B
490,ENSG00000038358,EDC4
491,ENSG00000038382,TRIO
492,ENSG00000038427,VCAN
493,ENSG00000038532,CLEC16A
494,ENSG00000038945,MSR1
495,ENSG00000039068,CDH1
496,ENSG00000039123,SKIV2L2
497,ENSG00000039319,ZFYVE16
498,ENSG00000039523,FAM65A
499,ENSG00000039560,RAI14
500,ENSG00000039650,PNKP
501,ENSG00000040199,PHLPP2
502,ENSG00000040275,SPDL1
503,ENSG00000040341,STAU2
504,ENSG00000040487,PQLC2
505,ENSG00000040531,CTNS
506,ENSG00000040608,RTN4R
507,ENSG00000040633,PHF23
508,ENSG00000040933,INPP4A
509,ENSG00000041353,RAB27B
510,ENSG00000041357,PSMA4
511,ENSG00000041515,MYO16
512,ENSG00000041802,LSG1
513,ENSG00000041880,PARP3
514,ENSG00000041982,TNC
515,ENSG00000041988,THAP3
516,ENSG00000042062,FAM65C
517,ENSG00000042088,TDP1
518,ENSG00000042286,AIFM2
519,ENSG00000042317,SPATA7
520,ENSG00000042429,MED17
521,ENSG00000042445,RETSAT
522,ENSG00000042493,CAPG
523,ENSG00000042753,AP2S1
524,ENSG00000042832,TG
525,ENSG00000042980,ADAM28
526,ENSG00000043093,DCUN1D1
527,ENSG00000043143,JADE2
528,ENSG00000043462,LCP2
529,ENSG00000043514,TRIT1
530,ENSG00000043591,ADRB1
531,ENSG00000044090,CUL7
532,ENSG00000044115,CTNNA1
533,ENSG00000044446,PHKA2
534,ENSG00000044459,CNTLN
535,ENSG00000044574,HSPA5
536,ENSG00000046604,DSG2
537,ENSG00000046647,GEMIN8
538,ENSG00000046651,OFD1
539,ENSG00000046653,GPM6B
540,ENSG00000046889,PREX2
541,ENSG00000047056,WDR37
542,ENSG00000047188,YTHDC2
543,ENSG00000047230,CTPS2
544,ENSG00000047249,ATP6V1H
545,ENSG00000047315,POLR2B
546,ENSG00000047346,FAM214A
547,ENSG00000047365,ARAP2
548,ENSG00000047410,TPR
549,ENSG00000047457,CP
550,ENSG00000047578,KIAA0556
551,ENSG00000047579,DTNBP1
552,ENSG00000047597,XK
553,ENSG00000047617,ANO2
554,ENSG00000047621,C12orf4
555,ENSG00000047634,SCML1
556,ENSG00000047644,WWC3
557,ENSG00000047648,ARHGAP6
558,ENSG00000047662,FAM184B
559,ENSG00000047849,MAP4
560,ENSG00000047932,GOPC
561,ENSG00000048028,USP28
562,ENSG00000048052,HDAC9
563,ENSG00000048140,TSPAN17
564,ENSG00000048162,NOP16
565,ENSG00000048342,CC2D2A
566,ENSG00000048392,RRM2B
567,ENSG00000048405,ZNF800
568,ENSG00000048462,TNFRSF17
569,ENSG00000048471,SNX29
570,ENSG00000048544,MRPS10
571,ENSG00000048649,RSF1
572,ENSG00000048707,VPS13D
573,ENSG00000048740,CELF2
574,ENSG00000048828,FAM120A
575,ENSG00000048991,R3HDM1
576,ENSG00000049089,COL9A2
577,ENSG00000049130,KITLG
578,ENSG00000049167,ERCC8
579,ENSG00000049192,ADAMTS6
580,ENSG00000049239,H6PD
581,ENSG00000049245,VAMP3
582,ENSG00000049246,PER3
583,ENSG00000049247,UTS2
584,ENSG00000049249,TNFRSF9
585,ENSG00000049283,EPN3
586,ENSG00000049323,LTBP1
587,ENSG00000049449,RCN1
588,ENSG00000049540,ELN
589,ENSG00000049541,RFC2
590,ENSG00000049618,ARID1B
591,ENSG00000049656,CLPTM1L
592,ENSG00000049759,NEDD4L
593,ENSG00000049768,FOXP3
594,ENSG00000049769,PPP1R3F
595,ENSG00000049860,HEXB
596,ENSG00000049883,PTCD2
597,ENSG00000050030,KIAA2022
598,ENSG00000050130,JKAMP
599,ENSG00000050165,DKK3
600,ENSG00000050327,ARHGEF5
601,ENSG00000050344,NFE2L3
602,ENSG00000050393,MCUR1
603,ENSG00000050405,LIMA1
604,ENSG00000050426,LETMD1
605,ENSG00000050438,SLC4A8
606,ENSG00000050555,LAMC3
607,ENSG00000050628,PTGER3
608,ENSG00000050730,TNIP3
609,ENSG00000050748,MAPK9
610,ENSG00000050767,COL23A1
611,ENSG00000050820,BCAR1
612,ENSG00000051009,FAM160A2
613,ENSG00000051108,HERPUD1
614,ENSG00000051128,HOMER3
615,ENSG00000051180,RAD51
616,ENSG00000051341,POLQ
617,ENSG00000051382,PIK3CB
618,ENSG00000051523,CYBA
619,ENSG00000051596,THOC3
620,ENSG00000051620,HEBP2
621,ENSG00000051825,MPHOSPH9
622,ENSG00000052126,PLEKHA5
623,ENSG00000052344,PRSS8
624,ENSG00000052723,SIKE1
625,ENSG00000052749,RRP12
626,ENSG00000052795,FNIP2
627,ENSG00000052802,MSMO1
628,ENSG00000052841,TTC17
629,ENSG00000053108,FSTL4
630,ENSG00000053254,FOXN3
631,ENSG00000053328,METTL24
632,ENSG00000053371,AKR7A2
633,ENSG00000053372,MRTO4
634,ENSG00000053438,NNAT
635,ENSG00000053501,USE1
636,ENSG00000053524,MCF2L2
637,ENSG00000053747,LAMA3
638,ENSG00000053770,AP5M1
639,ENSG00000053900,ANAPC4
640,ENSG00000053918,KCNQ1
641,ENSG00000054116,TRAPPC3
642,ENSG00000054118,THRAP3
643,ENSG00000054148,PHPT1
644,ENSG00000054179,ENTPD2
645,ENSG00000054219,LY75
646,ENSG00000054267,ARID4B
647,ENSG00000054277,OPN3
648,ENSG00000054282,SDCCAG8
