Gene,Var,Mean
NPHP4,0.2557981502801628,1.2070377141839304
KCNAB2,0.3074942595831955,3.960826123952686
RPL22,0.9911510975611544,4.211358361623434
RP1-120G22.11,0.06615939682090316,0.14922853434844613
RNF207,0.6948072103918113,0.7082832489400017
ICMT,0.6989304913504526,1.9818652653885522
GPR153,0.44029211430731685,0.9156504732953531
ACOT7,1.2532292486926142,1.9052898026732816
ESPN,0.3547340128053324,0.735642314536747
TNFRSF25,1.2661643961593902,2.072203098756395
PLEKHG5,0.07230521905659623,0.36801554899184624
NOL9,0.44507445572250126,1.3080792099493708
ZBTB48,0.24645822708068993,3.3863789355605487
KLHL21,0.5820519250323553,3.0290283225220125
PHF13,0.4966218353612655,2.1031782311412273
THAP3,0.2752042134934252,2.0088476146470864
DNAJC11,0.8387958180445189,1.8384121139681207
